Ekspresi,Gendre,Artist,Lagu,Tahun
Bersemangat,Metal,scorpions,send me an angel,1990
Sedih,Pop,Kezia,Aku masih memikirkanmu,2022
Marah,Pop,Adele,Don't you remember,2011
Netral,Pop,Sezari,It's You,2019
Bersemangat,Pop,Justin Bieber,Let me love you,2016
Sedih,Pop,Gustixa,Somewhere Only We Know,2022
Sedih,Pop,Kunto Aji,Rehat,2018
Sedih,Pop,Nadin Amizah,Beranjak Dewasa,2020
Sedih,Pop,Nadin Amizah,Sorai,2019
Marah,Pop,Hindia,Evakuasi,2019
Marah,Pop,Neck Deep,December,2015
Netral,Pop,Unknown Brain,Why Do I?,2018
Sedih,Pop,Ghea Indrawari,Jiwa Yang Bersedih,2023
Bersemangat,Reggae,Souljah,Ku ingin kau mati saja,2007
Marah,Rock,Slipknot,Duality,2004
Sedih,Jazz,Billie Holiday,Solitude,1956
Bersemangat,Pop Punk,Pee Wee Gaskins,Serotonin,2016
Bahagia,Classical,Ramones,I wanna be sedated,1978
Sedih,Pop,Ed Sheeran,Photograph,2014
Bersemangat,Pop,Ryuu,Memori,2023
Sedih,Sad,Cakra khan,Kepada hati,2022
Bersemangat,Rock,Evanescence ,Bring me to life ,2003
Sedih,Pop,Mahalini,Bohongi hati,2023
Sedih,Pop,Joji,Die for you ,2022
Bahagia,Pop,Kobo Kanaeru,Mantra hujan,2022
Bersemangat,Pop Punk,Threesixty,Sampai Nanti,2013
Bersemangat,Pop,NIKI,La La Lost You,2019
Bersemangat,Metal,Slipknot ,Sycosocial,2008
Bahagia,Metal,bmth,drown,2015
Netral,Indie,nadin amizah,rumpang,2018
Bersemangat,Rock,Gun n roses,Paradise city ,1987
Netral,Reggae,Shagy dog,Cantik,2006
Netral,Reggae,Coconuttreez,lagu santai,2008
Sedih,EDM,marshmellow,friends,2018
Sedih,Pop,wali,yank,2009
Sedih,Pop,geisha,lumpuhkan ingatanku,2012
Bersemangat,Classical,irish,gogodols,1998
Netral,Rap,eminem,rap god,2013
Netral,Indie,hindia ,secukupnya,2019
Marah,Pop Punk,The Ramones,Blitzkrieg Pop,1976
Sedih,Indie,kunto aji,terlalu lama sendiri,2915
Bersemangat,Metal,metallica,enter sand man,1991
Sedih,Pop,Adele,Love in the dark ,2915
Marah,Pop,Madison beer,Reckless,2021
Netral,Pop,Jhon Mayer ,You're gonna live forever in me,2017
Bersemangat,Pop,"Rema, Selena Gomez",Calm down,2022
Sedih,Pop,SadBoyProlific,Dead And Cold,2018
Sedih,Pop,Tulus,Diri,2022
Sedih,Pop,Nadin Amizah,Rumpang,2018
Sedih,Pop,Nadin Amizah,"dan, selesai",2021
Marah,Pop,Hindia,Evaluasi,2019
Marah,Pop,Sarcastic Sounds,Disappointment,2022
Netral,Pop,Ed Sheeran,Shape of You,2017
Sedih,Pop,Cassandra,Cinta Terbaik,2017
Bersemangat,Reggae,Souljah,Bersamamu,2007
Marah,Rock,My Chemical Romance,Teenagers,2006
Sedih,Jazz,Billie Holiday,All of Me,1933
