Ekspresi,Gendre,Artist,Lagu,Tahun,spotify_uri
Bahagia,Pop,Awdella,Tertawan hati,2022,spotify:track:0DVCvSb8PhHchIP23JOP9q
Bahagia,Pop,reality club,alexandra,2019,spotify:track:7JFFMicliyVArHQgwEqVBS
Sedih,Pop,Reality Club,Anything you want,2022,spotify:track:2QB8FwOszur18Ai7t2XnNi
Marah,70' punk,the jansen,i wanna be with you,2020,spotify:track:4v010rUfO4WRs8W2ZndHOt
Bahagia,Pop,Shawn Mendes,There's Nothing Holdin' Me Back,2017,spotify:track:7JJmb5XwzOO8jgpou264Ml
Bersemangat,70' punk,the jansen,dua bilah mata pedang,2022,spotify:track:43l4FU53DGRBFfnRDlVu2d
Marah,Rock,Linkin Park,In the End,2000,spotify:track:60a0Rd6pjrkxjPbaKzXjfq
Bersemangat,Pop,Ed Sheeran,Shape of You,2017,spotify:track:7qiZfU4dY1lWllzX7mPBI3
Sedih,Indie,Idgitaf,Satu-Satu,2022,spotify:track:3d6BjQ0QOLTzuKoOQbeGgG
Bersemangat,Pop Punk,Blink-182,All The Small Things,1999,spotify:track:2m1hi0nfMR9vdGC8UcrnwU
Bahagia,Classical,The Beatles,Hey Jude,2006,spotify:track:1eT2CjXwFXNx6oY5ydvzKU
Bersemangat,Pop,ONE OK ROCK ,We Are,2017,spotify:track:57sk9X1fPLXRfkw74XNrmK
Sedih,Sad,Siti nurhaliza,Seluruh cinta,2014,spotify:track:3f4PvbnAEkGEfS3n0Xdlye
Sedih,Pop,Fabio,Rumah singgah,2023,spotify:track:6raMBnVBIvvUngMLyDdzyP
Bahagia,Pop,Westlife ,My love ,2000,spotify:track:5p0ietGkLNEqx1Z7ijkw5g
Bersemangat,Pop Punk,Stand Here Alone,Introvert,2023,spotify:track:62thhXr3NIiZrn0xbBHaZo
Bersemangat,Pop,The Weekend ,Lost In The Fire,2019,spotify:track:3ELf9bGDM3HiljrlhV4wwt
Netral,Indie,hindia,rumah ke rumah,2019,spotify:track:2wAiFWjRupWmnDkQcu91MF
Bersemangat,Rock,Slipknot ,Before i forget ,2004,spotify:track:6wqJeItl3Vc3az4ZicSQAB
Netral,Reggae,tipe x,mawar hitam,2005,spotify:track:25Sk65Rg036j9sr1eSOm8l
Sedih,Pop,kerispatih,tapi bukan aku,2007,spotify:track:0BrH4b7su9uLELM1h5Xlzw
Marah,Pop Punk,green day,Welcome to Paradise,1994,spotify:track:5kr3j5Clb9rjEposoMyLVt
Sedih,Indie,fiersa besari,waktu yang salah,2014,spotify:track:4qgIQcskrvj6nlypTvBm5k
Bersemangat,Metal,gun n roses,november rain,1991,spotify:track:3YRCqOhFifThpSRFJ1VWFM
Sedih,Pop,ST12,Cinta tak harus memiliki,2011,spotify:track:0HkQl75epTEkkXVA0V05l3
Marah,Pop,Naif,Benci untuk mencinta,2005,spotify:track:65PjFLm6X567f52At4CI1N
Netral,Pop,George Benson,Nothing's Gonna Change My Love For You,1985,spotify:track:0vB4Vd6PtkJSEnWsmqATnZ
Bersemangat,Pop,"Luis Fonsi, Daddy Yankee",Despacito,2019,spotify:track:6habFhsOp2NvshLv26DqMb
Sedih,Pop,My Chemical Romance,Cancer,2006,spotify:track:0GgN4MhR5GKn5IcKN0e0rG
Sedih,Pop,Nosstress,Istirahat,2021,spotify:track:0Kf2BOFEcT4d6yKgVDV0xC
Sedih,Pop,Nadin Amizah,Mendarah,2020,spotify:track:75OokMC3JzPnRNXcLTAKdr
Marah,Pop,Lewis Capaldi,Someone You Loved,2019,spotify:track:7qEHsqek33rTcFNT9PFqLf
Marah,Pop,Majiko,Kokoronashi,2015,spotify:track:1FXrYwvWwjmbw8cqFC1OWz
